Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Cameroon,CMR,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,48.22404047,48.18710485,48.15863415,48.14355934,48.13960655,48.1456268,48.16529822,48.19924919,48.22969439,48.24634779,48.25671433,48.26959585,48.28739343,48.30178848,48.3069425,48.30432038,48.2997377,48.29851901,47.81429385,47.27478994,46.67768855,46.70680766,46.75292854,46.81685361,46.89782019,46.54620509,46.16111211,45.75229333,45.34216087,44.9426682,44.48770158,44.16175849,43.99932796,44.02184294,44.05250621,43.90529923
"Congo, Dem. Rep.",COD,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,50.86168349,50.79813039,50.73881699,50.70207166,50.82125202,50.83564235,50.55148066,50.27196729,50.20044992,50.25166849,50.24718012,50.2154008,50.18269584,50.14074444,50.10147893,50.07520974,49.83099886,49.57528336,49.30674337,49.0267158,48.7330912,48.42149288,48.1008011,48.10907399,48.11593835,48.12197402,48.16753242,48.22417363,48.22841571,48.21097105,48.24315336,48.28796786,48.49217603,48.6976695,48.82220701,48.87517085
"Congo, Rep.",COG,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,49.00217794,49.00321482,48.99999588,49.00442246,48.99531294,48.96453834,48.93276152,48.93840663,48.98959538,49.04249176,49.24814794,49.42308851,49.38497985,49.39688324,49.47767124,49.56311159,49.65074074,49.70700441,49.68598158,49.73100174,49.76238067,49.65639972,49.5065386,49.33278461,49.18951179,49.0800828,49.01982272,49.01052095,49.03424423,49.09192897,48.99849189,49.1288237,48.65558031,48.63847253,48.65093322,48.64943858
Colombia,COL,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,40.44400642,40.25684254,40.17698037,40.16732063,40.19785486,40.24802181,40.23229274,40.31502682,40.3178407,40.1370832,40.21288816,40.23322571,40.08932122,40.63304818,40.52164566,39.95555227,39.94669755,39.9456199,40.09354637,41.13363461,41.4354829,41.57310339,42.03432912,41.9979631,41.94637721,42.1217611,42.08728507,42.04527538,41.67254546,41.58330804,41.14440139,41.03452667,41.19884502,41.55056457,41.5908106,41.59778073
Comoros,COM,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,39.63578314,39.77224256,39.76670821,39.62050356,39.53963807,39.52111993,39.55823293,39.66202157,39.83654356,40.03560718,40.21313578,40.35756952,40.4788347,40.66776308,40.97697931,40.57156743,40.15135441,39.73274971,39.32552699,38.93679606,38.56812654,38.21517902,37.87972512,37.55387785,37.23379051,38.09755251,38.92050241,39.78400544,40.66658313,41.49022834,42.03372548,42.66951937,42.39280175,42.42309205,42.50091943,42.68001969
Cabo Verde,CPV,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,36.6652694,36.88759898,37.13138799,37.39570738,37.67952939,37.98315918,38.30702402,38.65312563,39.01441424,39.3909123,39.75568984,40.08443098,40.40544379,40.7423686,41.10401326,41.49352812,41.91533345,42.3753706,42.87478163,43.41619311,43.36265866,43.39632627,43.45916221,43.50688407,43.5494168,43.58032696,43.60040039,43.61409855,43.34553677,43.4152039,43.25635749,43.40792626,43.07496178,43.36364961,43.59879756,43.6254681
Costa Rica,CRI,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,28.87113053,29.74727255,29.57890724,29.98375533,30.79176652,31.0982138,30.92282303,32.48902911,33.66067726,34.11387247,33.48610523,35.21095137,35.12961414,35.22644041,34.5181093,36.33947817,36.42082464,36.77838722,37.21154787,37.79452111,37.98881497,39.0936515,40.75917641,41.02738082,40.75340606,40.60480238,39.27361098,39.06726702,39.83826045,41.79019308,40.87093426,41.45726575,41.6819369,39.54532715,40.62987158,40.67892349
Caribbean small states,CSS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,37.37853556,37.57871273,37.93327391,38.02865517,38.05248712,38.14790536,38.71592076,38.67939927,38.72771385,38.69350352,38.69351741,38.87160468,39.07209292,39.58654091,40.11372966,40.6114741,40.92630717,40.8315469,41.28637429,41.2428332,41.48378104,41.61512045,42.1413261,42.34426331,42.6649841,42.63578338,43.1142912,43.29621001,43.48466314,43.69857085,43.48724737,43.76149262,44.12606959,44.17199667,44.11109539,44.18217836
Cuba,CUB,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,34.54350292,33.6725107,32.77741216,31.71281508,31.69925683,31.87766994,32.36677997,32.64243114,32.824209,33.33684509,33.85250492,34.26736478,34.62136888,35.07248293,35.61516294,36.44389014,37.31424933,37.95479558,38.44033385,38.70039412,38.70482421,39.08339202,39.4726282,39.83537533,40.0856447,40.45404419,40.61007936,40.80446423,41.01999797,41.11526108,40.95929091,40.96315184,39.85566084,39.52552233,39.19979,39.09633581
Curacao,CUW,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
